"","TB_status_limma_logFC","TB_status_limma_AveExpr","TB_status_limma_t","TB_status_limma_P.Value","TB_status_limma_padj","TB_status_limma_B"
"RFPL1S",10.1078089885388,27.9831282283765,2.6622386654405,0.0189205526498747,0.071264021083938,-3.30907993758547
"C21orf2",8.66257875699383,65.5457820172059,2.66212563953231,0.018924692964717,0.071264021083938,-3.30928034044481
"ARL4C",12.9369143121232,118.317822310974,2.66209970973346,0.0189256429376573,0.071264021083938,-3.30932631546381
"DDX41",8.59836613497315,82.6110634282482,2.6617794584834,0.0189373795901392,0.0712976321523672,-3.30989412905268
"LINC00938",7.12265899002604,75.4201520648765,2.66160362698657,0.0189438265146899,0.0713113208227711,-3.31020587470811
"PALM",10.3403876241348,4.81141998915933,2.6610036343526,0.0189658415071714,0.0713591413497941,-3.31126960642956
"C19orf70",10.2498488908783,75.7981508944827,2.66099131065773,0.0189662939497545,0.0713591413497941,-3.31129145450945
"SNORA7B",-12.0542148246464,33.0858365233896,-2.66098633673948,0.0189664765613033,0.0713591413497941,-3.31130027251952
"LOC101928162",-8.39498604836918,5.59665736557945,-2.66095078487207,0.0189677818559469,0.0713591413497941,-3.31136330050805
"LOC387810",-7.03109049500438,6.22558824533593,-2.66072768604375,0.0189759749700558,0.0713793791578256,-3.31175881505763
"RAD51B",8.92734617227427,46.6238386310108,2.66050175608825,0.0189842755570608,0.0713836910616013,-3.31215933931553
"THBS2",7.86555155086565,39.2467033531088,2.66044466873302,0.0189863734843074,0.0713836910616013,-3.31226054118166
"PPIA",9.50374265752211,98.133211387963,2.66044100675022,0.0189865080677377,0.0713836910616013,-3.31226703295758
"CCDC105",-8.67691956441869,5.78461304294579,-2.66039015664285,0.0189883769821699,0.0713836910616013,-3.31235717717251
"UPF3B",-7.45857992405769,87.5815313949416,-2.6602358743977,0.0189940484727868,0.0713944320132844,-3.31263067714626
"SPDYE3",-16.7922691687519,22.6469886336124,-2.65947210318686,0.0190221493106239,0.0714894642536159,-3.31398456849011
"GSG1",-16.7422911592934,16.4828064121152,-2.65926680016104,0.019029709745664,0.0715063947795356,-3.31434847841073
"CSDE1",12.5661942844558,112.373403453177,2.65919670370748,0.0190322917672432,0.0715063947795356,-3.3144727261056
"TRY2P",-10.0068525774403,6.67123505162688,-2.65892355746748,0.0190423564275976,0.0715321046664502,-3.31495687587327
"LIN54",-8.70313462257731,66.680489578881,-2.65885795886091,0.0190447743187167,0.0715321046664502,-3.31507314687732
"ATP6V0E1",9.84649437135435,109.622675303818,2.65865467351621,0.0190522690820095,0.0715496612986553,-3.31543345725505
"GSTM4",12.4256345676516,44.8905538102332,2.65850040876433,0.0190579584556468,0.0715604337037964,-3.31570687662692
"SPIRE1",-11.3651838105542,60.2677486546224,-2.6582561808925,0.0190669690944932,0.0715836720421937,-3.31613973791142
"GEMIN7",5.50583348083669,70.608840424032,2.6580142330174,0.0190758996926661,0.0716045435389199,-3.31656854729118
"CROCCP2",-7.04689120982268,81.0069221594512,-2.65795264383457,0.0190781736746909,0.0716045435389199,-3.31667770137839
"NUP35",-8.43813901217281,68.6413793272198,-2.65776970332138,0.0190849297153411,0.0716193042927179,-3.3170019214446
"ZFR2",-16.2464433133278,25.9967854136233,-2.65760644672296,0.0190909607851823,0.0716313405115376,-3.31729125104174
"NAP1L5",-6.8176653939203,58.2561484065969,-2.65739887042709,0.0190986317974195,0.0716495255008782,-3.31765911855402
"LOC101927280",-7.43580045153996,4.95720030102664,-2.65724901133514,0.0191041717219206,0.0716597114064293,-3.31792469443786
"NDUFA6-AS1",-14.209050055348,26.1622611446135,-2.65702059256647,0.019112618807039,0.0716807974418932,-3.3183294834438
"TK1",18.1674385371798,42.169994890565,2.65635360595217,0.0191373051937395,0.0717627728240627,-3.31951141855327
"TSPAN6",-15.9004043440666,38.7866205718005,-2.65580228934867,0.0191577337877276,0.0718190754306114,-3.32048831785301
"SCUBE1",-13.6914412648747,12.7627811213916,-2.65577232885956,0.0191588445558407,0.0718190754306114,-3.3205414043853
"PTBP1",13.0096723755576,100.146828749672,2.65571924039118,0.0191608129341839,0.0718190754306114,-3.32063547061947
"REEP6",12.6396620561802,24.4027756804424,2.65537482759238,0.0191735876079026,0.0718563407353039,-3.32124571496688
"RNF123",-5.42827338910788,62.9897195925363,-2.65516087461018,0.0191815275371405,0.0718690229193497,-3.32162479426733
"ITIH3",16.0407219567691,16.1021147451002,2.65513096542608,0.0191826377399447,0.0718690229193497,-3.32167778631712
"PHKA2-AS1",11.2712262755236,24.8699849132366,2.65445588750165,0.0192077126415101,0.0719452606423361,-3.32287382145458
"MIR1291",11.6370822668431,8.44156294542876,2.65443043782085,0.0192086585592298,0.0719452606423361,-3.32291890897443
"WRNIP1",8.97860579548808,91.8554365656201,2.6541275714748,0.0192199190144592,0.0719768092056099,-3.32345546800672
