"","TB_status_limma_logFC","TB_status_limma_AveExpr","TB_status_limma_t","TB_status_limma_P.Value","TB_status_limma_padj","TB_status_limma_B"
"KRTAP19-2",0.190476190476191,0.129032258064516,1.46728203389798,0.152731210077263,0.268019184922524,-5.79060009468509
"MIR521-1",0.190476190476191,0.129032258064516,1.46728203389798,0.152731210077263,0.268019184922524,-5.79060009468509
"MIR548I2",0.190476190476191,0.129032258064516,1.46728203389798,0.152731210077263,0.268019184922524,-5.79060009468509
"MIR501",0.190476190476191,0.129032258064516,1.46728203389798,0.152731210077263,0.268019184922524,-5.79060009468509
"SNORD115-3",0.190476190476191,0.129032258064516,1.46728203389798,0.152731210077263,0.268019184922524,-5.79060009468509
"MIR6756",0.190476190476191,0.129032258064516,1.46728203389798,0.152731210077263,0.268019184922524,-5.79060009468509
"MIR6882",0.190476190476191,0.129032258064516,1.46728203389798,0.152731210077263,0.268019184922524,-5.79060009468509
"MIR520C",0.190476190476191,0.129032258064516,1.46728203389798,0.152731210077263,0.268019184922524,-5.79060009468509
"MIR4531",0.190476190476191,0.129032258064516,1.46728203389798,0.152731210077263,0.268019184922524,-5.79060009468509
"POC1B-GALNT4",0.190476190476191,0.129032258064516,1.46728203389798,0.152731210077263,0.268019184922524,-5.79060009468509
"SNORD115-30",0.190476190476191,0.129032258064516,1.46728203389798,0.152731210077263,0.268019184922524,-5.79060009468509
"MIR190B",0.190476190476191,0.129032258064516,1.46728203389798,0.152731210077263,0.268019184922524,-5.79060009468509
"SNORA36B",0.190476190476191,0.129032258064516,1.46728203389798,0.152731210077263,0.268019184922524,-5.79060009468509
"RNU6-57P",0.190476190476191,0.129032258064516,1.46728203389798,0.152731210077263,0.268019184922524,-5.79060009468509
"MIR320C2",0.190476190476191,0.129032258064516,1.46728203389798,0.152731210077263,0.268019184922524,-5.79060009468509
"CYP4F62P",0.190476190476191,0.129032258064516,1.46728203389798,0.152731210077263,0.268019184922524,-5.79060009468509
"MIR375",0.190476190476191,0.129032258064516,1.46728203389798,0.152731210077263,0.268019184922524,-5.79060009468509
"MIR130A",0.190476190476191,0.129032258064516,1.46728203389798,0.152731210077263,0.268019184922524,-5.79060009468509
"FOXN3-AS1",-0.772987066463645,4.18626598724026,-1.46706730941225,0.152789249846354,0.268102489458554,-5.79090025369196
"NBPF9",1.00664386913677,6.47287931785545,1.46667922985107,0.152894192008927,0.268268077388468,-5.79144264592934
