X1,TB_status_limma_logFC,TB_status_limma_AveExpr,TB_status_limma_t,TB_status_limma_P.Value,TB_status_limma_padj,TB_status_limma_B
SARNP,-2.48302308777846,9.29051755523244,-10.2767389002589,2.48226682052012e-11,7.78576487492011e-9,15.9185007182814
MRPS18B,-4.273646854374,3.57239027380635,-10.2762439770478,2.48508039267904e-11,7.78576487492011e-9,15.9173955530236
CACYBP,-3.04770607693596,9.81897598057373,-10.276083393939,2.48599398797118e-11,7.78576487492011e-9,15.9170369631447
BAG3,-3.2391925364352,9.26900261961065,-10.2667885469684,2.53946523554375e-11,7.85623830430169e-9,15.8962750759969
EIF3J,-3.02673497441923,10.1807183321439,-10.2565608365692,2.59966632589313e-11,7.94558257292252e-9,15.8734157221231
SKP1,-2.59848494246853,11.6365097382256,-10.2354515724073,2.72858323775032e-11,8.24032137800597e-9,15.8261901387886
RALA,-3.64035338860191,10.121917753614,-10.2283853594607,2.77318571387386e-11,8.27649119877084e-9,15.8103679258852
C3orf18,2.92358813880929,6.6709836883863,10.2113447081105,2.88384598890624e-11,8.50667500541552e-9,15.7721833024378
SS18L2,-2.8926525194085,9.3226991457345,-10.1982187249616,2.97216198917985e-11,8.66641440707063e-9,15.7427433781562
AGTRAP,2.80946895463109,9.55163790540089,10.1664159213998,3.19781423741482e-11,9.21842631531126e-9,15.6713152250974
STMN1,-3.27732473767447,9.85265851845907,-10.1533998996508,3.29516021743249e-11,9.36360361260723e-9,15.642041399332
RPL13AP6,-4.96226269477795,9.13683858134135,-10.1454062839853,3.356443346663e-11,9.36360361260723e-9,15.6240516842186
GAS5,-2.99205786270814,11.4428399937581,-10.1450878606242,3.3589085806814e-11,9.36360361260723e-9,15.6233348864985
VILL,3.3439120482054,8.8951900810234,10.1182988072197,3.57309468152848e-11,9.8524202044581e-9,15.5629803523997
DUSP14,-3.02075688469139,7.39452213250898,-10.1066714647611,3.67036488119227e-11,1.00118082049554e-8,15.5367536288104
EML2,4.16398469949545,8.15386428024146,10.0631587654431,4.05909359200867e-11,1.09543708768166e-8,15.4384402592354
LINC00264,4.77847028313092,6.06180403287779,10.0498763792949,4.18596741074307e-11,1.11778548711295e-8,15.4083776424965
PPIL1,-2.80769491094575,7.56236197176239,-10.0419049918175,4.26405340260672e-11,1.12677611163883e-8,15.3903239260123
RASSF1,3.11794359652383,10.4758514741557,10.0200776986586,4.48559347381003e-11,1.15496879707699e-8,15.3408441402994
IL36RN,-4.68365562931548,1.89990070230563,-10.0186488308513,4.5005007712103e-11,1.15496879707699e-8,15.3376027728922
COX16,-2.92059993182282,7.74882223119831,-10.0179960032354,4.50732856002136e-11,1.15496879707699e-8,15.3361217481428
CCL7,-7.89686634791002,4.29202616750021,-10.0098335698751,4.5935986993998e-11,1.16530411806374e-8,15.3175992198372
KDSR,-3.41381271116168,9.56323020368885,-9.99823384271896,4.719116470848e-11,1.18529254091556e-8,15.2912607701814
BPGM,-3.16378785333912,8.56727467451485,-9.9933961717352,4.77249641478929e-11,1.18694793186642e-8,15.2802708016307
TOMM5,-2.89710528950291,9.1250337269244,-9.9686046990104,5.05591617954443e-11,1.24522797711343e-8,15.2238999385774
CDA,3.58857829895578,7.45729682854188,9.95385263205094,5.23268661563721e-11,1.27637301986043e-8,15.1903162547031
CD59,-3.77070467480941,9.82612866861135,-9.94305272484736,5.36610182043811e-11,1.29645019981785e-8,15.1657106931461
TMEM70,-2.89726124629767,9.04334380269233,-9.90469179204365,5.86880874054743e-11,1.40452773707743e-8,15.078181712554
SAP18,-2.78449234578465,11.2116902133184,-9.89742126440325,5.96939497901612e-11,1.40820665510758e-8,15.0615693720024
NGRN,-3.0261227374694,9.9573940860172,-9.8955760114504,5.99520335665477e-11,1.40820665510758e-8,15.057352008459
UBB,-2.44195001893819,13.4334995288448,-9.88599456122357,6.13106142174442e-11,1.42690611143865e-8,15.0354458076537
AIF1,4.56931272799023,4.97306641177064,9.87489328900866,6.29241794516942e-11,1.45114598575507e-8,15.0100488777519
SF3B5,-2.49964068000901,10.6756524206823,-9.8679196343957,6.39599682938124e-11,1.46174457268237e-8,14.9940861511158
TMEM60,-3.77681275782078,7.17391725847991,-9.84894261798271,6.68678905613927e-11,1.51455772121555e-8,14.9506134749997
RPL13P5,-2.29869093533751,5.34781447559599,-9.82101661051277,7.13953228820304e-11,1.60279340785075e-8,14.8865493988309
SLC16A10,-4.05140482948254,6.53473754263153,-9.81590756456857,7.22569852071041e-11,1.60790807081914e-8,14.8748171871751
RPS12,-3.03622919753887,14.769493319094,-9.80739722244199,7.37159977787488e-11,1.62611081013156e-8,14.8552663171068
TGS1,-2.75032232126686,9.76230448090009,-9.80169750736309,7.47099872126449e-11,1.63383013414687e-8,14.8421666907635
STAM-AS1,-3.79880517528975,3.11596264565024,-9.78777319637575,7.71963956633873e-11,1.67377620956309e-8,14.8101455203892
GGT7,4.34857080160772,7.78789249921091,9.78191398141106,7.82678230119702e-11,1.68262553743022e-8,14.79666326289
NETO2,-2.86372816921533,7.69949113920086,-9.76693775195999,8.10761237224109e-11,1.71947842284658e-8,14.7621807381317
MIR17HG,-3.21733000237203,8.16323856429577,-9.76557007035691,8.13376737391949e-11,1.71947842284658e-8,14.7590301188223
UQCRBP1,-4.37809593701245,7.47132039652619,-9.76112695812897,8.21933323916277e-11,1.72320698852133e-8,14.7487930788278
BUD31,-3.05592315413958,9.26521588594305,-9.74565370696657,8.52457718814928e-11,1.76740062577422e-8,14.7131208897687
SLC7A11,-7.279537862309,7.37103825989823,-9.74342604715829,8.56946850245305e-11,1.76740062577422e-8,14.7079824771557
RPA3,-3.59942190705785,7.99502601608774,-9.73993961294669,8.64021259003423e-11,1.76762026599991e-8,14.6999391371466
CTSL,-5.37588698993465,9.33694077774502,-9.73575432393671,8.72592737937362e-11,1.7696060303937e-8,14.6902812777168
RPS16,-2.85647525217914,14.7804192788365,-9.72696905674235,8.90869193700676e-11,1.7696060303937e-8,14.6700007042457
RBX1,-2.96777510620209,10.2190252495624,-9.72677675836891,8.91273594934362e-11,1.7696060303937e-8,14.6695566680403
TMEM208,-2.31741216549573,9.11175961448397,-9.72600671290734,8.9289487500155e-11,1.7696060303937e-8,14.6677785043692
MRFAP1,-2.66845851310276,11.7190871112604,-9.72136918481803,9.0272291788959e-11,1.77521511480799e-8,14.6570679316989
