X1,member
MED7,0.17828589594166208
SARNP,0.1744437341830817
TXNDC12,0.1773259590772763
UBE2NL,0.27197163872899877
ATP5EP2,0.31883184493698286
RAB11A,0.17864061332969666
RBKS,0.2684256090583371
ITM2B,0.15748105664355033
ATP6V1E1,0.10842128866870829
COX7B,0.1887572362314703
TM2D2,0.19985222782799983
THOC7,0.12397490129163341
B2M,0.3115675503134744
USMG5,0.2343364275595239
GLTP,0.15151172314779315
YIPF5,0.22339740393628302
ORMDL2,0.19406403030799774
CHIC2,0.17475364871160787
PPCS,0.14824805724986953
SCFD2,0.17823935343385716
SUMO1,0.13813333698042832
UQCR11,0.17768767539293584
NDUFC2,0.19096492931810846
ARL6IP5,0.2622585780130969
GSTO1,0.33947697803782445
TPI1P2,0.221681285204958
LY96,0.3185850382288143
TMSB4Y,0.4464738892678568
NDUFB6,0.1690749409435949
MDH2,0.10186058907151896
BLOC1S4,0.21737489457830608
COX5A,0.1949872493106222
PSMA4,0.20197445478199127
NAA38,0.20710602459769845
MED8,0.13271895239608608
COA3,0.2640528737901134
EIF3I,0.11158106003556495
SRP14,0.09492121448277126
PSMA6,0.15892427974877493
POP7,0.2715037831921984
EDARADD,0.14007858431155096
HIGD1A,0.14259074435491245
RBX1,0.24287736018744255
LAMTOR1,0.19045336777425312
NOP10,0.22035915758501154
RAB8A,0.12488949330066057
TXN,0.20196080647368922
RPL23AP32,0.17935882234594802
CCR1,0.425906110529968
RNF181,0.11814360604338005
LOC644936,0.3286224275742402
FADD,0.1959147987077173
RGS10,0.24619646171478102
UFD1L,0.16874503002997715
MRPL15,0.25751509112681287
TMEM160,0.1269466313308678
NDUFS8,0.11404809241799183
FAM120AOS,0.1076851087424513
CCDC23,0.21181928460091645
LOC100130331,0.20631420786263172
ATP6V0E1,0.3116226611835892
H2AFZ,0.10310035314586335
PRDX4,0.16166881176031433
ENSA,0.0989739386954715
TOMM5,0.218906040064928
CYBA,0.11595133195486489
RWDD1,0.13083922165049092
PSMD8,0.1667470665667755
PSMA2,0.21019932845595993
RAP2B,0.16234526416876965
PSMB3,0.15594804974902982
LINC00116,0.24475149339407679
PRDX5,0.13535287986143302
NDUFA9,0.11032830228207077
GTF2H5,0.21211250026841424
COMMD8,0.17478270829999656
BAG1,0.12953759527491332
MRPS23,0.22069669594635624
OAZ1,0.37322897413885314
SMIM7,0.10745260274372567
SDHAF2,0.1692319861636421
S100A10,0.24660124337185813
PSMB1,0.18498850202470604
NDUFB10,0.22298568662392138
UBE2F,0.13676330804905198
SCAND1,0.12178590416080069
PDCD10,0.1557478377423467
SNX3,0.10055884027340839
H2AFY,0.12838481381264275
MPC2,0.2013243347706091
MTRNR2L5,0.5702527293297484
PFDN1,0.13301883055505284
CNIH4,0.22646429401360219
LGALS1,0.2326716216700624
FUOM,0.24009191771032437
XRCC6P5,0.10179983432225127
BFAR,0.19958855788194751
CHP1,0.17401766740140517
GADD45GIP1,0.11136163577377668
LOC729739,0.09665336739912493
CDK2AP1,0.25022827966669325
AP3S1,0.18045487254062326
CTSC,0.13640934476965888
REEP5,0.1963223962033182
TCEB2,0.16700648496535764
TXNDC17,0.2637856623545648
WAC-AS1,0.2091007360710318
CASP4,0.1176862119244012
TIMM8B,0.21108973190157299
IGFBP7,0.18152480572560675
NDUFS7,0.12205940723373751
EIF3G,0.11437484016332243
PSMD14,0.19824436855620148
ALOX5AP,0.2784029783550122
PYCARD,0.2815893438845673
TRAPPC5,0.3038498532074123
C19orf10,0.16229805473926376
UQCR10,0.22466097856394196
VIMP,0.12502345711720042
UROS,0.07752475047455855
MRPS11,0.1611648839667773
PSMB4,0.2003965768283502
S100A6,0.21889472237018132
SNX6,0.1565409914798279
COX7C,0.13930893692699492
NDUFA1,0.2070860855051357
FARS2,0.17371534649292034
CKLF,0.27604122750113297
GDE1,0.12269899187670298
PSMA7,0.15944210984710724
TMEM70,0.25573926267589076
VDAC3,0.10017706570179927
MYL12B,0.1882642297286404
TXNDC9,0.21595865314181956
HN1,0.17358894222574942
MGST3,0.20896006769389686
CYSTM1,0.3108512023204751
DUSP23,0.27972183828795855
MTRNR2L10,1
PABPC1P2,0.33313803553390686
ATP5L,0.22834196534895979
RSU1,0.16398479973259894
LSM5,0.15864514511994865
FAM26F,0.26911736881455844
COX7A2L,0.26188268904125667
C12orf75,0.29102819340953107
PRCP,0.15206511749563212
PSMB2,0.147114890881715
PTRHD1,0.27527305274100233
LAPTM4A,0.3032388592756823
SNRPD2,0.15228072751153934
ANXA2P3,0.4967416559739657
ANP32AP1,0.1520630398086357
NDUFA2,0.270761942282866
FUNDC2,0.1091278575305412
THAP1,0.12645929112442922
PSMB7,0.16181389170847557
REEP3,0.1509209860530914
ARF6,0.1494251031570194
CISD3,0.13843342465781
LSM10,0.19083516072885398
NDUFA4,0.35650639119326777
TMBIM6,0.10824861415730087
CNBP,0.13923679058483301
PSMD10,0.17818927925316477
CYSLTR1,0.1876134352436531
PPBP,0.604926869326869
RPN1,0.08525124975522294
MYL12A,0.29500975110120703
C14orf119,0.20566669604488855
SF3B5,0.26837510857116026
NDUFAB1,0.21023923128704103
MTRNR2L4,0.5488042269383768
KBTBD7,0.273092946132065
MRPL34,0.26207878714056915
HOXA1,0.2555383351391204
MESDC2,0.14594967631466213
MRPL36,0.19455469444186657
HSBP1,0.17494133073057386
POLR3K,0.17048369844160785
MRPL21,0.21094050093263594
PPIL1,0.20888318210081216
CHCHD1,0.20227957221672857
TMA7,0.1476754433434146
C19orf70,0.1285415445146721
CHMP2B,0.20224512659304023
