Term,Overlap,P_value,Adjusted_P_value,Old_P_value,Old_Adjusted_P_value,Odds_Ratio,Combined_Score,Genes
Osteoclast differentiation,14/127,3.5568038836152396e-6,0.001095495596153494,0,0,4.418285389676992,55.434672439661774,SPI1;NCF1;IL1R1;NCF4;LILRA1;LILRA2;SIRPB1;OSCAR;LILRA5;CTSK;BTK;FCGR2C;MAP2K6;MAPK3
Hematopoietic cell lineage,11/97,3.004667225987695e-5,0.00462718752802105,0,0,4.545172819866537,47.327787564989926,IL11;CD4;CSF2;CR1;IL1R1;ITGA2;CD59;CD1D;CD36;CD1C;CD33
