X1,member
STRIP1,0.22218633513139238
GGT7,0.267985841542654
MASP2,0.31025521481639196
MED23,0.24475479623787397
ATG16L1,0.2004021622824181
ZNF212,0.2521045387358518
HNRNPH1,0.3208124458113419
ZNF548,0.18322539269702628
MAP3K4,0.2505301023753488
ESCO1,0.15655567375190407
PSD,0.41101600070163313
NEIL1,0.44619490018308927
GNPTAB,0.20599203144386605
CELF6,0.36781730684900094
SLC5A6,0.3296009125161292
GOLGA8A,0.44205794917294383
ENTHD2,0.3793464400760114
ZFYVE27,0.2914819855559679
RNF216,0.23052076892541126
KANSL3,0.24849184429701668
NOL4L,0.28096989267968064
YTHDC2,0.19510830303439541
RBM19,0.25728487758444724
SUGP2,0.26703323184152766
WDR59,0.29872819948076906
PHKA2,0.17687626202496323
MTA1,0.32897635396642233
SEC61A2,0.20785179562016431
TSPYL2,0.3732455470826272
DIDO1,0.19714825500344846
RALGPS1,0.2727775369260426
SCAF4,0.2410991664727572
RHOT2,0.20088734645311526
DCAF8,0.29509691584862746
ZBTB40,0.34482740931253236
IL11RA,0.44642704016537516
HPS4,0.27418045733572
GPRASP1,0.3946123948316302
GLUD1P3,0.367057268949496
SLC11A2,0.2562202365009046
PAPD7,0.2149554678985083
EML2,0.23859617825624427
LMBR1L,0.32794011931124534
VAMP1,0.42448828880221195
SNORA67,0.3516100525215038
MAP2K7,0.2415457946935882
XPO4,0.20501089844588433
HIP1R,0.5824926758410979
TOM1L2,0.35967984913659556
NCOA2,0.32745975625896995
SAMD4B,0.24882152028613005
NLRP1,0.460074602578064
SNRNP70,0.36533141748153597
SF1,0.2597845381748035
APPL2,0.1627769835889187
NAA16,0.21072617603249455
NRIP2,0.24547970460962312
MAP4K5,0.13305962476907313
GUSBP11,0.372517719665761
CYTH1,0.21746283369439676
IFT172,0.32983739651037525
OSBP,0.16833782976650807
ARFGAP2,0.2362993243923579
ATAD3B,0.25357723364319773
NPIPB5,0.5305625410337089
KLHL36,0.1734299132308169
AP1G1,0.29797900830440993
ARHGEF7,0.24057586241774895
RBM5,0.2630050350391669
PRPF4B,0.147979756568165
SPG7,0.2760159117723161
TRAF1,0.4655721015838658
C1QTNF6,0.42458699730917443
TARDBP,0.2617586531116365
DDHD1,0.2629507738873275
ZMIZ2,0.414328532205713
SEPT7P2,0.2699019179447519
QRICH1,0.22176584926973322
TMPRSS5,0.26430913134651374
PIGL,0.3115871939333653
CELF1,0.18533705283227547
ATG2B,0.24507517011571395
GSDMB,0.38718765404326483
DENND1C,0.3021960469106682
SCAF8,0.14977878108756804
SNORA64,0.3392456509463441
CASC3,0.18228996914604748
SIPA1L3,0.34426917894584064
NKTR,0.2088351493853671
KLHL24,0.16021969623979238
DVL3,0.28007630580198006
ZNF839,0.21458789528682357
RPS6KB1,0.2016457499543673
MTMR7,0.2685577692540585
C2CD3,0.20816370791207742
SAP25,0.5045123163196975
NECAP1,0.18837917600810208
YARS,0.1449204642786691
CLASP2,0.17986753827359364
SMURF1,0.25248583060412955
LINC01089,0.30505768874340206
UCP3,0.27801948451055175
SNORA70,0.29492678577970244
LINC00565,0.3868229735924184
RASGRP2,0.3073038134027352
ULK1,0.3153817739462751
ANKLE2,0.12690218420107593
TMEM44,0.27184356261573045
PCM1,0.1198499395258747
RALGAPA2,0.23654446386672812
KIAA0319L,0.204969637433527
TNRC6A,0.1485772547667954
ZNF326,0.256642549100222
LTV1,0.14097546440843164
TSPAN32,0.30669126025243837
TPP2,0.18836540853125575
CCDC93,0.2571292210954684
WDR27,0.2584877584326567
CTAGE5,0.1931978891681895
KDM5B,0.1677709398279993
SLC17A9,0.4714857516254215
FBRSL1,0.2920587835775141
TBC1D2B,0.2821512920363836
LINC01000,0.5419742498543612
PRMT7,0.28722394298889015
XYLT2,0.2824381129167778
NAA40,0.30544310521131396
MARCH6,0.14303040363603176
TMEM120B,0.2048425197365649
UBE4A,0.14181161808689727
CASZ1,0.23079580586244708
ADAT2,0.28001113739170824
STARD9,0.3392276207098267
C1orf204,0.19542291490100044
ADCY10P1,0.3549995781758036
MMS19,0.3441928825830866
USP20,0.26733633256297173
INPP5D,0.22230901105311268
RBM23,0.22577268655541202
FLYWCH1,0.4344022426669373
EPS15L1,0.16109156154037016
ALG13,0.23606143130285803
ZKSCAN8,0.2178212360521769
KIAA0922,0.28707671353336744
WDR75,0.19553862128536084
TNPO2,0.21668831168512032
ZMYM4,0.20953267832099512
SETD4,0.24507429763002564
GPR107,0.13178978212452583
POU6F1,0.4431585915266571
ZNF655,0.09420837657801637
CRTC2,0.30415715013824496
HERC1,0.20775803290085118
FGFR1OP,0.19500695093217954
LSS,0.33277011251449434
NR2C1,0.13419928421316543
PAN2,0.45912440076671873
CUL9,0.4179519075800785
TRRAP,0.27595163159504743
YY1AP1,0.21506014964137915
DDX51,0.3241081533566515
IST1,0.20474951391934812
DHX8,0.17074832047911176
KDM3A,0.17156866458908765
NLGN2,0.43711141012817434
LOC155060,0.44703163441547483
PLXDC1,0.4019488759358539
UNKL,0.2565384943015691
CRY2,0.26367049596078174
DGKA,0.4461319895332308
SYCE2,0.13917217012131242
NFKB2,0.5518117946018809
CCNL2,0.2815786112380373
SUCO,0.1758743962967379
USP24,0.2784422792740262
SETD5,0.21711304209195187
PHC3,0.17158112730833758
MED14,0.17814041940987702
NRBP2,0.38956456587229765
HAUS5,0.30107330414937067
CCDC84,0.2289175059261031
CDK5RAP1,0.1184304071447664
STAG1,0.1556031674899033
PCED1A,0.30198665006640296
TNKS,0.1872347521306909
MYO19,0.303441081970618
