X1,TB_status_limma_logFC,TB_status_limma_AveExpr,TB_status_limma_t,TB_status_limma_P.Value,TB_status_limma_padj,TB_status_limma_B
STEAP4,42.5451449730159,50.8073845577653,8.81823238737351,8.8738431616279e-9,7.1013139849898e-7,9.99391763957606
FZD2,45.3069073715132,53.0572579379332,8.80804955292052,9.05752346270455e-9,7.22551116987072e-7,9.97568957812696
NPPC,-29.7485965500943,14.5736770833868,-8.79114477435564,9.37116884914411e-9,7.45228248793378e-7,9.94539324977108
HIST2H2BF,-29.0825982421716,12.6296856758128,-8.78827638708288,9.42549040766592e-9,7.47205752067716e-7,9.94024820199538
SNORD12,-27.9302560337872,15.895888702868,-8.77906358806876,9.60217124124692e-9,7.58840747812934e-7,9.92371450801293
PADI2,43.9862288435537,57.0493030692868,8.77659459606916,9.65009931031133e-9,7.60259997838441e-7,9.91928131042056
BST2,62.8445939679965,85.3479181614926,8.77222220333986,9.73558291693794e-9,7.64620023024401e-7,9.91142814286901
EPAS1,-39.0813257691613,39.8080362008915,-8.75256276527153,1.01297064111039e-8,7.93118494558286e-7,9.87608157023401
MOK,-35.8713557855202,47.5731793898377,-8.74685315650995,1.02472287218589e-8,7.99851379126509e-7,9.86580477261059
PPP1R3C,-16.2205628472474,7.61365995580978,-8.73297917316766,1.05387010459217e-8,8.2007904335258e-7,9.84081171973072
SUMF1,22.5675345370156,78.3272847505372,8.72616497734731,1.06849774423156e-8,8.27946176974124e-7,9.82852545399695
IGFBP7,30.077204599481,69.8981469958275,8.72389181759733,1.07342387911794e-8,8.27946176974124e-7,9.82442525203619
TRERF1,20.4681317534804,71.0410262588049,8.72373192745079,1.07377125600949e-8,8.27946176974124e-7,9.82413682066092
PGF,-25.0604417393846,11.1892602222636,-8.71493045972864,1.09307337510502e-8,8.4027531453528e-7,9.80825341972095
ALDH2,44.0726096881247,84.1654264629628,8.70637710854585,1.11217455688037e-8,8.52375956463483e-7,9.79280624140165
GAB3,28.7697508737831,87.1271203893018,8.69930403989073,1.12823005259181e-8,8.6207650524545e-7,9.78002383118556
OVOL1,-32.7362401841004,17.7732134431212,-8.6975771923495,1.13218610780305e-8,8.6250141689933e-7,9.77690190040052
KLF4,36.9149448266632,89.6973594532499,8.68769725423287,1.15509705197526e-8,8.77320419596059e-7,9.75903125313158
VPS13B,15.635694388552,82.4093448941664,8.68264818212311,1.16698971602216e-8,8.83707316897023e-7,9.74989272273015
LAMP3,-52.7650305082143,37.4660821663655,-8.67842078567271,1.17704414326988e-8,8.88668328168756e-7,9.74223832705407
ARRB1,43.3028339816,83.6885275690124,8.66180943919065,1.21742622793203e-8,9.15106128543459e-7,9.71213381609871
MIR3607,-30.4994308043108,16.7817098017359,-8.66106230729708,1.21927574679789e-8,9.15106128543459e-7,9.71077878986682
ADAP2,36.6014326212159,72.8829358427699,8.6540634999124,1.23674266020224e-8,9.25477516342492e-7,9.69808127092447
LOC100652768,22.4289750782366,45.5920923782155,8.64351144409461,1.26356694999866e-8,9.42769599634291e-7,9.67892288214934
FUT7,44.5798451248284,43.0710155680132,8.64118309234101,1.26956624852136e-8,9.44467935263636e-7,9.67469317377231
ERMAP,20.0864119902028,71.1051002815409,8.62872316382503,1.30217404335523e-8,9.65893307948402e-7,9.65204397897963
CD163,54.2316560226373,77.1154677937852,8.62503957250257,1.31197861720914e-8,9.70328675258354e-7,9.64534344928249
RBP7,37.6404089481612,57.9069653758596,8.6204472396198,1.32430873783725e-8,9.76600699460913e-7,9.63698693713356
MATN3,-13.1492591385187,6.33395007717283,-8.61666498778404,1.33455359512131e-8,9.81303060899637e-7,9.6301020325988
CMKLR1,37.2558828937422,58.9827960493606,8.58899618980527,1.41203017621631e-8,1.03351211899022e-6,9.57966812989886
NCF1,55.7812889660119,64.8080702552195,8.58841547776873,1.41370508234628e-8,1.03351211899022e-6,9.57860834461157
KITLG,-24.0530466108161,11.2107822835978,-8.57211362456773,1.46156928315007e-8,1.0654336084756e-6,9.54883638022588
DPYD,23.827099973407,83.6031739399376,8.54251677679045,1.55278817513579e-8,1.12868568558294e-6,9.49467778324359
SNORD36A,-36.0400167361255,39.2467613494882,-8.53762071743895,1.568435050582e-8,1.13680172466184e-6,9.48570540268438
DYSF,54.3830251545934,67.6345215805078,8.52852299165275,1.59794296519193e-8,1.15488937723615e-6,9.46902321661254
KIAA1191,-17.0336081594824,81.5728029069873,-8.52558601332732,1.60759065971512e-8,1.1585613595356e-6,9.46363501790794
LINC00515,-43.115139593577,27.2062297251305,-8.51838232486054,1.63150932531543e-8,1.17246823129183e-6,9.45041337521973
IL1R1,-51.5712927818865,44.2483299379433,-8.51416279096488,1.64568977007576e-8,1.17931802506446e-6,9.44266507809757
PLEKHG3,30.1220670881379,61.7239225210542,8.50962260610865,1.66108986324165e-8,1.18700077889336e-6,9.43432486202946
FAM65A,26.2533443385036,86.6879244092581,8.50549783700734,1.67520973957306e-8,1.18770131047113e-6,9.42674495995523
HRH1,-34.9620065571676,20.8737463290711,-8.50545716800961,1.67534957196598e-8,1.18770131047113e-6,9.42667021112301
CD300LB,48.7452466837389,67.598164065935,8.50523436468594,1.67611585126405e-8,1.18770131047113e-6,9.42626069832643
OSCAR,49.6255859430946,69.3682199944953,8.50323517578041,1.68300778280138e-8,1.18926299259346e-6,9.42258583906984
C20orf27,44.0773624326474,68.1936948028488,8.50037440211269,1.69292078386243e-8,1.19294484569506e-6,9.41732614860211
WLS,39.231187111777,47.8311410459073,8.49452520470476,1.71337698652579e-8,1.20401516327386e-6,9.40656809039299
C8orf88,-24.9979214303634,14.2575582433103,-8.49294743509013,1.71893840405472e-8,1.2045864484547e-6,9.40366528191206
KCTD4,-18.2200189554465,10.2369554684933,-8.48992677051531,1.72963782517853e-8,1.20874524377766e-6,9.3981067228869
CPEB1,-23.2697949898516,13.9481939168687,-8.48780188554396,1.73720545990349e-8,1.20956954577959e-6,9.39419570179422
FAM200B,23.544758452275,81.2573112634632,8.48530718187542,1.74613377532547e-8,1.20956954577959e-6,9.38960309791105
SYT4,-28.2450807035639,16.2890813884208,-8.4842805534601,1.74982171605524e-8,1.20956954577959e-6,9.38771285199469
PYROXD2,23.8213446722261,58.8280764724883,8.48360716489869,1.75224508061002e-8,1.20956954577959e-6,9.38647290778961
