"","TB_status_limma_logFC","TB_status_limma_AveExpr","TB_status_limma_t","TB_status_limma_P.Value","TB_status_limma_padj","TB_status_limma_B"
"JPX",7.71365321890229,57.0488406266387,1.79625913866075,0.0766861208679214,0.152760037394403,-4.12615088979957
"RBFOX3",11.3719232854416,22.2382045104179,1.79604216071617,0.0767209590748949,0.152809437068696,-4.12635241775306
"ZNF491",8.65379074362336,28.5130711065963,1.79575152093521,0.0767676451459709,0.152867231721862,-4.12662232912093
"FAM127B",7.07321551176307,69.6535795799927,1.79569297173525,0.0767770528866343,0.152867231721862,-4.12667669797972
"PFKM",-4.3857698401629,61.6329765360806,-1.79558295111934,0.0767947336989274,0.152867231721862,-4.12677885907136
"KLRC4",-11.0417376627409,32.1686420990283,-1.79555188868411,0.0767997261867134,0.152867231721862,-4.12680770151523
"ZNF571-AS1",-8.96388894156166,22.0713869582567,-1.79554899115113,0.0768001919044134,0.152867231721862,-4.12681039194313
"FGF14-AS2",9.68317789417558,24.5182784860739,1.79529246014674,0.0768414332049191,0.152916535654659,-4.12704857202193
"ATOH8",10.854488298744,24.1974037254919,1.79526993754835,0.0768450549387348,0.152916535654659,-4.12706948204896
"NPTN",-4.5998388910475,83.9032294686008,-1.79500288336091,0.076888009268786,0.152947940528922,-4.12731739824955
"UBE3A",-6.48324009343548,91.8311250692053,-1.79498463539141,0.0768909450926506,0.152947940528922,-4.12733433733365
"TCEAL8",-4.444666750659,65.5623349244328,-1.79498440439825,0.0768909822565738,0.152947940528922,-4.12733455175723
"CAT",6.10292600855973,84.9263809991491,1.79466606291799,0.0769422136467627,0.153029848937329,-4.12763003509824
"ASNS",-5.46524642421198,76.5191261909106,-1.79446037359032,0.0769753307853516,0.153075691299149,-4.1278209308036
"LRRC1",-5.98513759660566,45.7932387327686,-1.79439799410036,0.0769853765780821,0.153075691299149,-4.12787882004923
"SCARNA2",-9.69154685461479,31.9532402861376,-1.79397488639645,0.0770535439991135,0.153179205843145,-4.12827142492759
"POU2AF1",-6.146348810052,68.0838374669006,-1.7939499454401,0.0770575638355538,0.153179205843145,-4.12829456530822
"SBNO1",-7.19359182719305,96.7738828702688,-1.79381310955863,0.0770796213422867,0.153197393126748,-4.1284215175246
"FAM102A",-8.29492329981812,99.047555180638,-1.79376831774859,0.0770868427802222,0.153197393126748,-4.1284630721817
"WDR89",-4.65277962297669,68.7430779468178,-1.79333329993258,0.0771570066358347,0.153316814360841,-4.12886660364182
"GABARAPL3",9.17936725810908,18.1689829954214,1.79319308632703,0.0771796329550338,0.153341756064296,-4.12899665044376
"KLRC1",-7.33382656705565,66.1677071180755,-1.7927756190249,0.0772470324928099,0.153455635809588,-4.12938379485359
"LEPROT",6.65042197972551,91.5231343783311,1.79245378818073,0.0772990250740046,0.153538883029026,-4.12968219564484
"TTLL11",-6.80823168085601,43.3791517428335,-1.79176149149555,0.0774109660203861,0.153741168292836,-4.13032393285808
"GIPR",-11.5211980250547,30.5182357563705,-1.79129899834207,0.0774858239850511,0.153869762149571,-4.13075252875815
"RAC2",9.83170387329774,110.346959642042,1.79115279466434,0.0775095006626559,0.153896700963512,-4.13088799670024
"RNMTL1",-5.92062424337942,69.7685159184278,-1.79069905874633,0.0775830183866468,0.154022580261269,-4.13130835327112
"HCCAT3",9.98864630141001,23.9159224085056,1.79011986876476,0.0776769473859843,0.154188943161459,-4.13184479958641
"COMMD9",5.30599515481372,81.2231680220656,1.78925530648935,0.0778173320132582,0.154447465194133,-4.13264527583373
"TTC40",9.40974195431894,19.0463091231463,1.78855131222558,0.0779317999445518,0.154654488520994,-4.13329683658019
"C4BPB",-9.23542543508903,19.7614092002682,-1.78826233850116,0.0779788269523447,0.154727639817708,-4.13356422264859
"ETFDH",-5.11202857444816,64.8986647746167,-1.78741585031128,0.0781167185514475,0.154981044456671,-4.13434725694214
"LOC494127",10.0452561719444,31.4598837312142,1.78716523831576,0.0781575817209615,0.155041906864949,-4.13457902053881
"SPTBN4",-8.61377186114811,21.1889630939333,-1.78683912393937,0.0782107824234385,0.15512161586665,-4.13488056547822
"FAM46C",-8.42329462580299,90.2542733395983,-1.78679399995603,0.0782181460992404,0.15512161586665,-4.13492228603405
"TBCB",6.87699559189997,91.5581260755401,1.78649362826354,0.0782671777301244,0.155198633693359,-4.13519997904091
"ACLY",-6.02619575987181,88.6175239698729,-1.78593772031948,0.0783579896021165,0.155344013283677,-4.13571380709161
"TMEM97",-6.0713651468605,57.0647489702752,-1.78591988289284,0.078360904933452,0.155344013283677,-4.13573029198461
"CACNG8",12.325763398488,22.4337461831439,1.78565223611552,0.0784046596827196,0.15541051244051,-4.13597762699471
"MCM3AP",-4.63258036453174,85.0096121607244,-1.78528636840789,0.0784645043825014,0.155502862315707,-4.13631567648244
"KIAA1919",-7.38116594793653,44.2515883200771,-1.78524249725276,0.0784716829017113,0.155502862315707,-4.13635620789032
"KDM5A",-8.66033956570099,103.904105007197,-1.78516356034871,0.0784846005095976,0.155508214573885,-4.13642913342886
"TMED3",6.29978893540366,76.2768630304803,1.78490099064317,0.078527581371863,0.155573124568675,-4.13667168709364
"WEE2-AS1",-8.48387134277304,26.0737324824845,-1.78457992633659,0.0785801639781514,0.155657037468954,-4.13696823383011
"TMED6",-7.65676029757919,39.5206596747698,-1.78382895318119,0.0787032695602606,0.1558704258664,-4.13766167788679
"MCM2",-5.2088040581914,61.774093751585,-1.78379786298151,0.0787083695689609,0.1558704258664,-4.13769038088491
"ENO3",-7.51907585631519,52.7145374831331,-1.78357067040776,0.0787456463714848,0.155923960377308,-4.13790011562757
"BMS1P4",-8.90193323255221,41.9245476633939,-1.7834126359166,0.0787715846551694,0.155955032522936,-4.13804599272062
"NAPA",7.266985979832,86.2723662980664,1.78322873330788,0.0788017776219254,0.155993249917808,-4.13821573369291
"NIP7",-6.16252268356333,81.0229683732685,-1.78315030461316,0.0788146568992932,0.155993249917808,-4.13828811823594
"KIAA0430",-5.12509468263193,90.5469831986404,-1.78310782422141,0.0788216336060614,0.155993249917808,-4.13832732368942
"TMEM209",6.1409745927034,72.7621393036471,1.78284348229512,0.0788650589566549,0.15605890046532,-4.13857126835666
"ZNF706",-4.99769729735447,84.6709021439093,-1.78228672852623,0.0789565859157647,0.156212593894401,-4.13908495815678
