X1,TB_status_limma_logFC,TB_status_limma_AveExpr,TB_status_limma_t,TB_status_limma_P.Value,TB_status_limma_padj,TB_status_limma_B
ELAC2,82.5755566662321,83.5627605927122,50.109136321357,2.36117198220744e-57,2.61097674881395e-55,35.5495020187665
RYK,79.1512997983557,74.0922887230418,50.1072890784885,2.36722154481523e-57,2.61097674881395e-55,35.5493484467035
PIKFYVE,89.0665200675194,87.0561768887394,50.0852548972215,2.44060470693047e-57,2.67254994562509e-55,35.5475154051061
C18orf8,86.5084493095908,82.5232844911302,49.919399206688,3.0723766629697997e-057,3.34033179907595e-55,35.5336456452362
AAGAB,72.1684553801245,74.7418377655535,49.9020396605934,3.14743560225553e-57,3.397667893754e-55,35.5321865509186
MGAT2,86.7638864944313,77.9783873722113,49.8705689286206,3.28828114665773e-57,3.52471319248432e-55,35.5295378003762
MRPL44,81.4764503885692,73.8538477610171,49.8333787313573,3.46298726633043e-57,3.68602301963744e-55,35.5264016883387
PANK2,87.3430316443218,80.6559574260563,49.8147780572259,3.55386715371879e-57,3.73994030237069e-55,35.5248307268631
PPFIA1,88.3230317170538,84.7854411566063,49.8093168648334,3.58100601688929e-57,3.73994030237069e-55,35.524369180832
CLTC,100.133373970538,95.2194936498114,49.8080453322022,3.58735486594916e-57,3.73994030237069e-55,35.5242616986666
UBAC1,78.2168138730201,75.0209814413602,49.7997702921188,3.6289523806076e-57,3.74321117747224e-55,35.5235620268605
CCNK,87.7185005329276,78.8468383833524,49.7948194342327,3.65407310319867e-57,3.74321117747224e-55,35.5231432674612
UBE3B,79.5341924683234,79.3863267920386,49.79281973155,3.66426953185312e-57,3.74321117747224e-55,35.5229740934897
ZMPSTE24,83.9646314782851,76.5174017116823,49.7426470884871,3.92975908021545e-57,3.9876575306639504e-055,35.5187233389413
API5,86.7747373947085,81.2557535259036,49.7171829580771,4.07188041585384e-57,4.07602295491004e-55,35.5165614036793
C3orf62,69.6866795193762,68.7441049571201,49.7132877539922,4.09407537826027e-57,4.07602295491004e-55,35.5162304255451
USP33,88.6707608710239,87.5780027030581,49.7127448953898,4.09717832009221e-57,4.07602295491004e-55,35.5161842927758
DHX29,87.3387946119584,80.6069925907352,49.7052169237775,4.14045423436094e-57,4.09232817540311e-55,35.5155444128762
METTL17,80.1088762190832,77.2409038451522,49.6618503311862,4.3989356982064e-57,4.27460107568363e-55,35.5118530043094
PRKDC,82.9135624860155,85.5199481397254,49.6612311957021,4.40274208299342e-57,4.27460107568363e-55,35.5118002381934
ATXN1L,79.9549409883379,78.8662948141531,49.6563180389676,4.43306630083214e-57,4.27460107568363e-55,35.5113814474488
PPP2R3C,87.9921709635697,79.5251722470049,49.655154505753,4.44027863030108e-57,4.27460107568363e-55,35.5112822526593
MSL2,88.5357054362587,83.7253729569164,49.6498761457982,4.47314697191572e-57,4.27460107568363e-55,35.5108321753393
COPB2,87.1735205723206,82.0163141479285,49.6466476698318,4.49337213132764e-57,4.27460107568363e-55,35.5105568230094
UBA3,88.8607590534269,86.7115199825556,49.6057492799498,4.75775680125069e-57,4.49800101067309e-55,35.5070643559563
MRPS10,79.1140307158926,72.6141036154163,49.6011084312598,4.78873681380482e-57,4.49934339771131e-55,35.5066675524426
PMPCB,88.8869511943098,84.9509824494996,49.5285588798298,5.30051518632518e-57,4.9496405920893e-55,35.5004510006007
TBC1D20,84.5108174057007,79.7153751743422,49.4909298503851,5.58745207812279e-57,5.18576878543335e-55,35.4972167391283
PPP6R3,89.080801092649,89.9626775008122,49.4762330649924,5.70375245910169e-57,5.2616252230295e-55,35.495951682258
USP10,86.4401226624591,84.419296187842,49.4627496688517,5.81260843266955e-57,5.32974174419658e-55,35.4947901548804
PTPN11,82.4680460418239,78.3249641618363,49.4394458482796,6.00573779218819e-57,5.47385239131117e-55,35.4927805786055
SEPT7,98.0657004659819,92.5919785234069,49.4214859332184,6.15900828858753e-57,5.54794644361216e-55,35.4912300370985
RNF111,80.4030286836748,76.3197700418058,49.4197679265444,6.17387603432461e-57,5.54794644361216e-55,35.4910816338912
LDLRAD4,85.2105845362379,75.7880000009126,49.4171755748175,6.19637931419793e-57,5.54794644361216e-55,35.4908576768097
GSK3B,83.6759686235047,81.0534382927346,49.4124619251867,6.23751007386079e-57,5.55211349907808e-55,35.4904503743333
SHOC2,89.4537288378597,83.9900290698279,49.3882801917016,6.45291003770407e-57,5.71045021417987e-55,35.4883591588188
TMEM167A,84.5927502631864,87.185729997461,49.3820650290226,6.50947986739485e-57,5.72721347176977e-55,35.487821218926
BRWD1,91.1889719488417,89.610277859789,49.349067230254,6.81835259984949e-57,5.96449108748903e-55,35.4849620246693
SEPT2,101.418921063626,98.8092411493083,49.33306533431,6.97344493399121e-57,6.06530316230173e-55,35.4835735856763
C1orf174,78.917817998383,75.3859060147628,49.3237195584928,7.06567459382051e-57,6.11060414730352e-55,35.4827621025493
SMARCA5,95.9224093438506,86.9609472243166,49.2817496544747,7.49534817793563e-57,6.38230174030438e-55,35.4791126512482
IARS,90.4820696135952,83.5501267582125,49.2814862903157,7.4981264157281e-57,6.38230174030438e-55,35.4790897235212
GNPAT,85.8754988209527,82.4723159418744,49.2807754360234,7.5056304547302e-57,6.38230174030438e-55,35.4790278368962
PDXDC1,85.8416609540754,84.9108245657322,49.2695893573824,7.62472227624275e-57,6.44754987592728e-55,35.478053657015
ASCC3,79.5466039044763,76.7060294882541,49.2529118732774,7.80584475519425e-57,6.55812419299939e-55,35.4766001013836
VEZF1,92.5406132419173,85.7605909603391,49.2481132017347,7.85876332844808e-57,6.55812419299939e-55,35.4761816123267
DNM1L,90.2319375570629,87.1886869345088,49.245769333828,7.8847429690486e-57,6.55812419299939e-55,35.4759771640981
FBXO11,91.9140922091998,87.8406326857385,49.2383947819632,7.96705239368924e-57,6.58307866676798e-55,35.4753337294681
GOPC,88.9039191586322,81.8445725308924,49.2353539259281,8.00124534098993e-57,6.58307866676798e-55,35.4750683350761
NFRKB,80.0603295341256,78.8907473002524,49.2170882397789,8.20978762353788e-57,6.7183428719285e-55,35.4734732203863
SLC5A3,99.263704274006,84.5461862685601,49.1633954680513,8.85527462598482e-57,7.20781471027352e-55,35.4687748154573
MPC1,84.526469356876,77.3821967104616,49.1389579458952,9.16586862002457e-57,7.42094075879756e-55,35.4666316974453
CD59,99.9511120356133,83.1959572896795,49.1115473206909,9.52741420789271e-57,7.67284506128756e-55,35.4642243342292
CDK13,91.4553359092592,88.7508534531184,49.1001263168452,9.68229239410479e-57,7.756535396351e-55,35.4632201769492
ZNF217,86.8251397602885,85.2025345453583,49.0962319872005,9.73568414122706e-57,7.75847373369723e-55,35.4628776320666
ATP2C1,88.0841674383166,83.2363272408875,49.0901219435493,9.82005571578293e-57,7.78495146093395e-55,35.4623400417189
MAFG,87.0411107051634,77.9797459978714,49.0855791044586,9.88326633637589e-57,7.79446616093148e-55,35.4619402214367
GTF3A,102.337294885342,95.8116281904981,49.0697545855108,1.01066925183097e-56,7.92958591861816e-55,35.4605466886467
CLCN3,83.3062106268966,76.7350611930319,49.0578100959935,1.02787218362875e-56,8.02320128564779e-55,35.4594940142011
CXorf38,82.4837400910156,79.9827946374774,49.0448365492634,1.04689370834613e-56,8.11829223124881e-55,35.4583498451166
FAM199X,81.156925418296,76.8355262098986,49.0422545496184,1.05072174597991e-56,8.11829223124881e-55,35.4581220323336
PWWP2A,79.4329049858942,76.8172726324481,48.9965233338938,1.12092329569425e-56,8.53472232279547e-55,35.4540816130083
C3orf17,89.7709260828898,85.5856440935151,48.9939075264859,1.12507966433216e-56,8.53472232279547e-55,35.4538501873081
KIF2A,84.4101549029073,77.672652377562,48.9935357176943,1.12567171397328e-56,8.53472232279547e-55,35.4538172898696
RNF4,86.7065415326237,86.0642752520913,48.9926724081274,1.12704762294323e-56,8.53472232279547e-55,35.4537409020493
KIF13B,81.728534755097,79.7217150805488,48.9866670807728,1.136665968542e-56,8.56494688474148e-55,35.4532094324577
MIA3,88.1675484964239,81.1719459549367,48.9780535452212,1.15060716480687e-56,8.62728652981545e-55,35.4524468227219
KDM3B,84.4749854200533,88.7755820663593,48.9431054553748,1.20897286027327e-56,9.02047838540166e-55,35.4493488441178
CLASP1,80.1397230302587,79.2084809441518,48.8421721346438,1.39495914179242e-56,1.03574015108402e-54,35.440367172689
RBBP5,83.0125309255877,73.831453569942,48.8224849910563,1.43448835823749e-56,1.05991977188024e-54,35.4386093059722
COASY,72.0400438845914,73.5954524380324,48.8028258396825,1.47509475176349e-56,1.08465783655034e-54,35.4368519831202
TMEM126B,84.5145759761872,75.244342832957,48.7988509893911,1.48344545977027e-56,1.08555400688285e-54,35.4364964352576
TAF5L,74.3803934984688,71.3833505939241,48.7791887771736,1.52546377071817e-56,1.11096095952638e-54,35.4347364852377
TRPM7,88.2728924635472,83.8711474337132,48.7550288087147,1.57874994716949e-56,1.13915635522329e-54,35.4325712588623
C1QBP,93.6646040223871,81.5484347602987,48.7548518278467,1.57914717135612e-56,1.13915635522329e-54,35.4325553868265
DNAJA2,95.1524834242806,87.6097100350561,48.6988720388948,1.71001548555972e-56,1.22774272196719e-54,35.4275269970935
NUS1,75.5735120696435,71.4042663320722,48.6724016155238,1.77567411983027e-56,1.26889839333035e-54,35.4251437245946
TCERG1,94.1675221452914,91.3328877936226,48.6200001528861,1.91329098015338e-56,1.36085056116423e-54,35.4204151710094
CRKL,95.971663677823,86.6023061607394,48.6106451918448,1.93897344538148e-56,1.36863126497586e-54,35.4195695258415
DNAJB14,88.9577196864039,86.1042154790075,48.6094738314774,1.94221373914189e-56,1.36863126497586e-54,35.419463608629
C18orf25,85.1000174224189,76.3363503631461,48.5931890588496,1.98783454246158e-56,1.39432394335519e-54,35.4179903700894
TIAL1,94.7526817433193,90.6370779946434,48.57434650151,2.0419784190571e-56,1.42573181268202e-54,35.4162840337234
HARS,84.748111259722,81.4757412247288,48.5620096318699,2.07823573172264e-56,1.44442128185162e-54,35.4151658463544
OSBPL11,80.0247362772286,76.6001932284929,48.5491422809689,2.11674767408051e-56,1.46450074305361e-54,35.4139987414288
RBM28,78.0014196927028,69.8238085057921,48.5284034609389,2.18034768075693e-56,1.50167746827155e-54,35.4121158737562
DENND4C,84.5291719058446,83.7863328562553,48.5095914737933,2.23971307397982e-56,1.53561588734445e-54,35.4104060200154
SLC7A1,84.8667568503425,74.1036954132408,48.5029883061959,2.26093711457776e-56,1.53652661120047e-54,35.4098054127141
FBXL20,82.608937260992107,81.9715488448108,48.5028973345219,2.26123093692204e-56,1.53652661120047e-54,35.4097971365862
KDM2B,92.6155441541128,88.3046095850528,48.4960092049199,2.28359115642098e-56,1.54482404408372e-54,35.409170366057
RNF20,80.9959263176868,76.9439288903622,48.4809799034796,2.33316041535306e-56,1.57137321602163e-54,35.407801953790504
POLR3C,80.7168335046111,73.960571666136,48.4763334571312,2.34870485454922e-56,1.57487385863849e-54,35.407378659604
PCNP,95.0758057167226,88.9818120901185,48.4708305682692,2.36725032304678e-56,1.58034724417084e-54,35.406877198098
UHMK1,93.4344414615257,90.9326126273922,48.4381076341343,2.48063819825607e-56,1.64881196574916e-54,35.4038920087736
DOPEY2,64.4924920545713,70.8414828029339,48.4340683153084,2.49501137802021e-56,1.65115513847155e-54,35.4035231310351
AASDHPPT,86.6635579001761,73.8960464042003,48.4301422415908,2.50906249336115e-56,1.65326581001948e-54,35.4031645136707
STX6,81.3962602643909,76.8622891540324,48.3971104880137,2.63050285544238e-56,1.72581396390899e-54,35.4001441313054
SERINC1,105.258032444157,94.8919561937304,48.3929397497985,2.64625435047783e-56,1.72864586609676e-54,35.3997623596601
ARF4,103.721743765091,88.018532932286,48.3899687185688,2.65753322821525e-56,1.72864586609676e-54,35.3994903487157
BAHD1,78.8787144539633,71.0642939255736,48.3663277195653,2.74903547526086e-56,1.77873924575265e-54,35.3973242683458
GOSR1,91.7658091058911,82.8006970991926,48.3640757924714,2.75791644437045e-56,1.77873924575265e-54,35.3971177856166
KLHL12,77.3762473100037,73.2827345534718,48.3609032353686,2.77047748847936e-56,1.77930117519596e-54,35.3968268438645
ZFYVE20,78.4157755825749,73.7165743824975,48.3489617693756,2.8182792861671e-56,1.7988489669519e-54,35.3957312704096
N4BP1,92.4436406211899,84.5360167606609,48.3474102817749,2.82455096972278e-56,1.7988489669519e-54,35.3955888739035
PYCR2,82.2999871307308,81.5919595622849,48.3059596038639,2.9974518717837e-56,1.90100895585082e-54,35.3917798321834
SESN3,97.3119727989357,86.9317913103006,48.2902208208548,3.06587877512058e-56,1.93633779402947e-54,35.3903311797625
SEH1L,77.6702063378014,74.089973966727,48.285499580795,3.08671226403959e-56,1.94143997400606e-54,35.389896366406
HSPD1,94.001648091366,82.3444093654322,48.2665148912218,3.17194525878715e-56,1.98683863308639e-54,35.3881467437452
CSGALNACT2,94.8297753867762,90.1373095148025,48.243425406971,3.27882969896887e-56,2.04537159213136e-54,35.3860162648988
ZC3H15,100.153633398575,91.2093092755934,48.2339936481706,3.3235342151112e-56,2.06479650155949e-54,35.3851451823298
TET2,82.1165570159187,83.2777794604038,48.223429836222,3.37433844206907e-56,2.07954054204673e-54,35.3841689896273
DDX59,79.2622074782123,72.3842790787325,48.2233777009954,3.37459111678301e-56,2.07954054204673e-54,35.3841641703938
NF2,69.0188743754138,70.4228205221546,48.2152319600117,3.41430617945105e-56,2.09553041763808e-54,35.3834110245018
KIAA1033,91.9509458608248,91.6150353784604,48.2027227280024,3.4762202413349e-56,2.11648679224696e-54,35.3822537518243
KIAA0368,89.2199905013772,85.7970135412419,48.2027145528461,3.47626107392247e-56,2.11648679224696e-54,35.3822529952413
NUP50,93.441585669432,88.5385383804709,48.1830754784305,3.57576969657763e-56,2.16839802994455e-54,35.380434443528
SART3,93.9093479188671,86.6528248647717,48.1784009376565,3.59987739980915e-56,2.17435451994028e-54,35.3800012861891
SUN1,92.978817946675,84.0049931039386,48.1486201756525,3.75738048437155e-56,2.26051732619049e-54,35.3772389862284
ME2,83.5744573643435,82.0807720382526,48.1083647292126,3.98144825934029e-56,2.38589070690624e-54,35.3734976167363
C11orf30,82.647296046896,73.4250366664915,48.0921906006275,4.07524738428628e-56,2.43252315436163e-54,35.3719919501983
FCHSD2,74.8014947642278,79.6876197820268,48.0875442937707,4.10260476644163e-56,2.43928699804719e-54,35.3715591625093
MTPAP,79.2000491223189,77.8897816735458,48.084457148446504,4.12088468988208e-56,2.44062201808153e-54,35.3712715416751
SDHA,86.8931259328274,81.2106606480868,48.0742137413767,4.18213256384704e-56,2.46729611450837e-54,35.3703168268901
VAMP4,80.4249130438722,77.9071488909672,48.0455078591186,4.35873432661615e-56,2.56155579866504e-54,35.3676383671037
PSPC1,95.3738983235007,84.7555619232847,48.0414227716087,4.38447348908084e-56,2.56248743164655e-54,35.3672568412772
ZNF746,80.4578719820471,79.1351837314417,48.0377491587073,4.40775159661471e-56,2.56248743164655e-54,35.3669136686654
C16orf62,76.5643653849174,76.6741314453416,48.0372655675833,4.4108252223336e-56,2.56248743164655e-54,35.3668684883417
SLC30A7,94.5239924023855,86.3119205533388,48.032050215531,4.44411151761493e-56,2.57200841861661e-54,35.3663811555356
ARHGAP17,85.3636791445736,81.4087314946444,48.0100457164616,4.58737935590466e-56,2.6448674687964e-54,35.3643234051028
DCAF13,85.0666022250395,75.2575342586497,47.9949961045469,4.68805264570211e-56,2.69271129510309e-54,35.3629145435325
ACD,78.5967066202152,72.8556027007139,47.936043582230504,5.10446312297561e-56,2.92086590957939e-54,35.3573839919938
UBR5,96.1010581251618,91.0477121491735,47.9184922394563,5.23553831576838e-56,2.98008273547376e-54,35.3557338141454
XRN1,91.1186866490499,89.557541206922,47.9169645917285,5.24710710930272e-56,2.98008273547376e-54,35.355590105875
UPF1,83.6368949540918,87.8381997232374,47.9089701897198,5.30807223757818e-56,2.99641167526283e-54,35.3548378537717
ZPR1,88.8640618190151,76.2507821834938,47.905779838976,5.33260176606423e-56,2.99641167526283e-54,35.3545375536531
HSDL1,77.1937054911878,70.9385503808408,47.905479614455,5.33491599761006e-56,2.99641167526283e-54,35.3545092913977
ZMYND11,87.734706913763,83.9899317078522,47.8955759414384,5.41183022062375e-56,3.02843631573949e-54,35.3535767150955
TPST2,75.8295372354992,78.8527852376046,47.8751190340478,5.57428129270931e-56,3.10791705334536e-54,35.3516487140168
BSDC1,80.1178838958438,79.306481560761,47.8162758723598,6.06966602963411e-56,3.37176593565915e-54,35.3460902548793
NSF,78.110834987626,74.2392701427597,47.7889178794574,6.31496005342553e-56,3.49527298084327e-54,35.3434995357333
TRIM52,69.4438663618781,69.4479668900326,47.7816591074233,6.38171348837621e-56,3.5194225002382e-54,35.3428114662506
ZNF326,75.4463184948948,70.0038137410997,47.7765384618114,6.42923403044007e-56,3.53282928438009e-54,35.3423258996925
EMC2,74.3864783119649,63.797811116623,47.7727785746298,6.46435470980921e-56,3.53680025788772e-54,35.3419692761592
TMED4,77.7239524176515,74.1140214623494,47.7707979896027,6.48293326293064e-56,3.53680025788772e-54,35.3417813875201
SMC5,83.8112554986283,80.6835747169068,47.7508036663343,6.67354506723689e-56,3.62778676672903e-54,35.3398834197584
OTUD5,84.2920901604909,85.6789122886819,47.7360302868052,6.81802522596378e-56,3.69313743645533e-54,35.3384796455445
CIAPIN1,81.8607381339857,73.6188210630677,47.7320511080183,6.85747988282725e-56,3.70133692540828e-54,35.3381013374075
CLIP1,85.4710243036257,84.3731606478202,47.7244714985481,6.93327523710324e-56,3.72902411250701e-54,35.3373804891814
GCLC,83.3260699859096,79.3649913902438,47.7052624923597,7.12918898288446e-56,3.82089385593255e-54,35.3355522310964
CCT8,102.15824210357,95.0020816747949,47.6931492295334,7.25560858366622e-56,3.86588984422394e-54,35.3343982832027
NUP153,90.7772356883433,85.7433780525066,47.6923583429562,7.26394123545133e-56,3.86588984422394e-54,35.3343229127763
SLC35A4,78.8750173433503,75.9445252777905,47.6724544770415,7.47686939860569e-56,3.95693813057813e-54,35.3324249677423
NPTN,88.4144341091927,83.9032294686008,47.6715207168164,7.48701255900731e-56,3.95693813057813e-54,35.3323358749099
XPOT,81.3155496369307,78.4021860602187,47.6684849743964,7.52008541088632e-56,3.96066505325608e-54,35.3320461925269
CDC40,78.2845772173166,76.514036418996,47.6540997957989,7.67882942561904e-56,4.0303262995637e-54,35.3306728120098
STX5,81.7806993141939,76.0395941777278,47.6460257223802,7.76941275659666e-56,4.06385675491951e-54,35.3299014646888
RNF168,88.6611308956833,82.8809910199115,47.6403089466729,7.83420372921136e-56,4.07566044963411e-54,35.3293551015203
SEPHS1,78.2792624351737,73.2603967298886,47.6382600606231,7.85755782339637e-56,4.07566044963411e-54,35.3291592416416
GNA13,101.461289992089,96.5693640538746,47.6369690871363,7.87230912681446e-56,4.07566044963411e-54,35.3290358212565
USP32,77.5019226117114,78.5770935770126,47.5863372918659,8.47354612108485e-56,4.37206255962822e-54,35.3241880219038
MORC3,87.6314947786203,80.848027790864,47.578476029523,8.57098540278498e-56,4.40739759512805e-54,35.3234340628933
CYTH2,84.0930014992707,76.6279343253069,47.5552517991608,8.86553237269164e-56,4.54351071531109e-54,35.3212046668754
FLI1,81.3984020931193,86.3312370913935,47.546633103503,8.97743345778893e-56,4.55857945705604e-54,35.3203765580206
MTMR12,76.031202417435,74.3658702554879,47.5462168871347,8.98287351003384e-56,4.55857945705604e-54,35.3203365563108
EXOC7,75.8550310156621,82.319907080315,47.5460708449604,8.98478310963019e-56,4.55857945705604e-54,35.3203225202657
CPSF2,75.8878557451706,73.4172932925814,47.5343198358842,9.13979180089825e-56,4.62181963460041e-54,35.3191927474096
TAB2,97.6120261664567,92.652799595318,47.5195012376807,9.33913652894818e-56,4.70698665917617e-54,35.3177669525822
FRS2,71.8971611843095,71.1077302258538,47.5052634955595,9.53481855349794e-56,4.78975159085123e-54,35.3163958930656
SAFB2,90.8569494857293,86.9920356486611,47.4902548563421,9.74559811283255e-56,4.87953121300738e-54,35.3149493736678
TMOD3,88.3185369014821,82.5206100920896,47.4859633576492,9.80673130048739e-56,4.89404121720389e-54,35.3145355315838
PKP4,68.8425097981578,64.7139277962004,47.48224020501,9.86008311512881e-56,4.90458578743058e-54,35.314176413461
RPRD1B,84.3133216519616,75.7370725662197,47.4547527820168,1.02631841801191e-55,5.08846665816261e-54,35.3115227049395
CLNS1A,86.2494203403917,79.0527928123168,47.4483275814004,1.03597937555484e-55,5.11968898549358e-54,35.3109017893002
ENY2,93.0271467108698,84.6646100717573,47.4389609470855,1.05022847979636e-55,5.17330993235612e-54,35.3099962063249
ZNF621,71.6619968639872,71.3454363995446,47.4341156295415,1.05767727288375e-55,5.19319540985922e-54,35.3095275593321
CLK1,115.107740892096,103.885388571693,47.425902024479,1.0704267365439e-55,5.23889561316228e-54,35.3087328252717
ZNF562,66.2892285939254,65.2293105484173,47.4222516036913,1.07614294903638e-55,5.24999097028291e-54,35.3083794954273
PHF12,77.1996439614081,80.665745908804,47.4147518346869,1.08798414992122e-55,5.29080087730059e-54,35.3076533465044
ETNK1,90.0602423983315,87.303840108637,47.4008422980992,1.11029634984767e-55,5.38210851625204e-54,35.3063057492198
AKAP8,88.0262632545845,86.6947843076985,47.3982984823892,1.11442676251531e-55,5.38498087372873e-54,35.3060591791509
RAP1GDS1,78.8010305436048,78.248326623966,47.394258391967,1.12101872266747e-55,5.39969176510174e-54,35.3056675015443
TOX4,89.2229246466245,83.75286196029,47.3663201801659,1.16769850511012e-55,5.60679462027794e-54,35.302956440743
RAB3GAP1,87.8938022906125,81.5519590983506,47.3622891347326,1.17459444688344e-55,5.622170464155e-54,35.3025649141924
CNOT4,82.7097619162633,73.9399322837775,47.3473317686148,1.20054488185903e-55,5.72836791434995e-54,35.3011113371828
PDP1,84.938203556537,80.0621038415343,47.3414478838401,1.2109117700519e-55,5.74778621730092e-54,35.3005391872531
INO80,80.136139474437,79.704471668909,47.3398757222898,1.21369711033527e-55,5.74778621730092e-54,35.3003862769035
STXBP3,90.2104982609939,82.209429220378,47.3386105909727,1.21594321133362e-55,5.74778621730092e-54,35.3002632185506
SPAG7,78.7432863039223,79.3583732343316,47.3248975452548,1.24056124058745e-55,5.84600081826056e-54,35.2989287807549
TDG,78.3139494572178,71.1861387238595,47.2995280531297,1.28744527005525e-55,6.03768289569355e-54,35.2964572316511
RPA1,89.2897413996481,86.2095085719929,47.2986122844939,1.28917084363735e-55,6.03768289569355e-54,35.2963679473987
LPIN1,95.9465406880182,91.2089304886407,47.2704866324413,1.34332506608842e-55,6.25305712514444e-54,35.2936234784979
WDR20,79.9833212384736,73.1730909799175,47.2704617029479,1.34337407523963e-55,6.25305712514444e-54,35.2936210439154
TDP1,81.1763803547024,70.1353097357218,47.2531490045241,1.3778507550616e-55,6.38309305442656e-54,35.2919294552653
AGO1,76.4624836554959,76.5223282454346,47.2522340626981,1.37969753295206e-55,6.38309305442656e-54,35.2918400107616
NAT10,81.2549550242,78.3995783610955,47.2381413845524,1.40846215383872e-55,6.49642498290276e-54,35.2904617122412
YTHDF3,87.346164476133,82.4048231201907,47.233450641129,1.41817068030809e-55,6.52144287763427e-54,35.2900026953024
XPO5,77.7003491566555,72.6162357978336,47.2227363537133,1.44060145983025e-55,6.60463699399889e-54,35.2889537690014
MGAT4B,80.5325271754652,79.902206812309,47.2186368324725,1.44927878913737e-55,6.624466201039e-54,35.2885522537815
RRP8,77.5347280019589,66.4839110702465,47.2122736658904,1.4628525651568e-55,6.66649068690171e-54,35.2879288428783
TRAF6,81.924321821194,77.5320981809447,47.2087964524714,1.4703244598611e-55,6.68053988165547e-54,35.2875880764365
SLC7A6,91.7508335228773,88.2164533972839,47.203643039479,1.48146941289117e-55,6.71114462310016e-54,35.2870829157854
HECTD1,92.6954370594651,91.8164234515374,47.1968258667804,1.49634414719068e-55,6.75841372830542e-54,35.2864144330614
OTUD4,83.1263492825643,79.5474436860736,47.1811011308487,1.53123471195682e-55,6.89553951203985e-54,35.2848714744675
FUNDC2,91.8007033195681,79.5588475572081,47.1719380569063,1.55194515766907e-55,6.96818797784099e-54,35.2839717141879
TNPO1,92.5866774996055,86.9123457246022,47.1688218577287,1.55905292463392e-55,6.97951310760379e-54,35.2836656122097
TP53BP2,95.992701108618,80.6119362892957,47.1499680861722,1.60276601435579e-55,7.15416466407901e-54,35.2818124343077
RELA,97.1347674275556,92.433198252874,47.1431670039147,1.61883769809523e-55,7.20477444523611e-54,35.281143441462
SLC25A38,88.4013809686528,79.5379205126426,47.1334550896449,1.64207161570032e-55,7.28687232145031e-54,35.2801876629564
FBXO28,83.1627298799753,75.337060888037,47.1293010423182,1.65211231894379e-55,7.31011674611729e-54,35.2797786855197
DCTN4,81.0341416856972,77.3559059924023,47.1233724159711,1.66655022561115e-55,7.35262637218181e-54,35.2791948243204
UTP6,87.6645322947502,79.9363499236303,47.1085099553868,1.70330933830068e-55,7.4930842307152e-54,35.2777302565484
ANAPC4,84.0245222967609,82.3183284132197,47.0959191227345,1.73509250835209e-55,7.61090578375423e-54,35.2764885446978
EIF2B5,89.2940383606051,87.105831963775,47.0887575099383,1.75343816875024e-55,7.66927654211134e-54,35.2757818572691
COPS8,87.1637278013031,78.7054171111824,47.0627989252129,1.82159922348649e-55,7.94457357612834e-54,35.2732178623923
TFG,93.3189138094161,84.9594501226394,47.0608260325586,1.82688811001632e-55,7.94487540644525e-54,35.2730228359617
CIAO1,89.1579030588861,91.4920578468091,47.0394077448001,1.88531737838619e-55,8.16230775068321e-54,35.2709041271828
UBA2,89.8716389770661,83.4725260031941,47.0385808490661,1.88761075372215e-55,8.16230775068321e-54,35.2708222770803
OBFC1,71.4549354762272,75.1168592255363,47.0052893280229,1.98233150191558e-55,8.54761127214082e-54,35.2675236378448
